Date,Chuuk Lagoon,Fananu,Kapingamarangi,Kosrae,Lukunor,Nukuoro,Pingelap,Pohnpei,Ulithi,Woleai,Yap
11/25/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
11/18/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,None
11/11/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,No Data
11/4/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,None
10/28/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/21/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/14/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/7/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
9/30/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
9/23/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
9/16/2025,None,No Data,D0,None,None,None,None,None,No Data,None,None
9/9/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
9/2/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/26/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/19/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/12/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/5/2025,None,No Data,None,None,None,None,No Data,None,No Data,None,None
7/29/2025,None,No Data,None,None,No Data,None,None,None,No Data,None,None
7/22/2025,None,No Data,None,None,None,None,D0,None,No Data,None,None
7/15/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
7/8/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
7/1/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
6/24/2025,None,No Data,None,None,None,None,D3,None,No Data,None,None
6/17/2025,No Data,No Data,None,None,D0,None,D3,None,No Data,None,None
6/10/2025,None,No Data,None,None,None,None,D3,None,No Data,None,D0
6/3/2025,None,No Data,None,None,None,None,D3,None,No Data,None,D1
5/27/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/20/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/13/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/6/2025,None,No Data,D0,None,None,None,D2,None,No Data,None,D1
4/29/2025,None,No Data,D0,None,None,None,D2,None,No Data,None,D1
4/22/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/15/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/8/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/1/2025,None,No Data,D0,None,None,None,D0,None,No Data,None,D1
3/25/2025,None,No Data,D0,None,None,None,D0,None,None,None,D1
3/18/2025,None,No Data,D0,None,None,None,D0,None,No Data,None,D1
3/11/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
3/4/2025,None,No Data,None,None,None,None,D1,None,No Data,None,D1
2/25/2025,None,No Data,None,None,None,None,D1,None,No Data,D0,D1
2/18/2025,None,No Data,None,None,None,None,D0,None,No Data,D0,D1
2/11/2025,None,No Data,None,None,None,None,D0,None,No Data,D0,D1
2/4/2025,None,No Data,D0,None,None,None,D0,None,No Data,D0,D1
1/28/2025,D0,No Data,None,None,None,None,None,None,No Data,None,D1
1/21/2025,D0,No Data,None,None,None,None,None,None,No Data,None,D1
1/14/2025,None,No Data,None,None,None,None,None,None,No Data,None,D1
1/7/2025,None,No Data,None,None,None,None,None,None,No Data,None,D1
12/31/2024,None,No Data,None,None,None,None,D0,None,No Data,None,D1
12/24/2024,None,No Data,None,None,None,None,None,None,No Data,No Data,D1
12/17/2024,None,No Data,None,None,None,None,None,None,None,None,D0
12/10/2024,None,No Data,None,None,None,None,None,None,None,None,None
12/3/2024,None,No Data,None,None,None,None,None,None,None,None,None
11/26/2024,D0,No Data,D0,D0,None,None,None,None,None,None,None
11/19/2024,D0,No Data,D0,None,None,None,None,None,None,None,None
11/12/2024,D0,No Data,D0,None,D0,None,None,None,None,None,None
11/5/2024,None,No Data,D1,None,None,None,None,None,None,None,None
10/29/2024,None,No Data,D1,None,None,None,D0,None,None,None,None
10/22/2024,None,No Data,D0,None,None,None,D0,None,None,None,None
10/15/2024,None,No Data,D0,None,D0,D0,D0,None,None,No Data,None
10/8/2024,None,No Data,D0,D0,D0,D0,D0,None,None,D0,None
10/1/2024,None,No Data,None,None,None,None,None,None,None,None,None
9/24/2024,None,No Data,None,None,None,None,None,None,None,None,None
9/17/2024,None,No Data,None,None,None,None,None,D0,None,None,None
9/10/2024,None,No Data,D0,None,D0,None,No Data,D0,No Data,None,None
9/3/2024,None,No Data,D1,None,D0,D0,No Data,D0,D0,None,None
8/27/2024,None,No Data,D1,None,D0,None,None,D0,D0,None,D0
8/20/2024,None,No Data,D0,None,D0,None,None,D0,None,None,None
8/13/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
8/6/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
7/30/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
7/23/2024,None,No Data,None,None,None,None,No Data,None,D0,None,D0
7/16/2024,None,No Data,None,None,None,None,No Data,None,D1,None,D1
7/9/2024,None,No Data,None,No Data,None,None,No Data,None,D1,No Data,D2
7/2/2024,None,No Data,None,No Data,None,None,No Data,None,D1,No Data,D2
6/25/2024,None,No Data,None,No Data,No Data,None,D0,None,D2,No Data,D2
6/18/2024,None,None,None,No Data,None,None,None,None,D3,D1,D3
6/11/2024,None,No Data,None,No Data,None,None,None,None,D3,D1,D3
6/4/2024,None,No Data,None,None,None,None,None,None,D3,D1,D3
5/28/2024,None,No Data,None,None,None,None,No Data,None,D3,D2,D3
5/21/2024,None,No Data,None,None,None,None,No Data,None,D4,D2,D4
5/14/2024,None,No Data,None,None,None,None,No Data,None,D4,D1,D4
5/7/2024,D0,No Data,None,None,None,None,None,None,D4,D1,D4
4/30/2024,D0,No Data,None,None,None,None,None,None,D4,D2,D4
4/23/2024,D0,No Data,None,None,None,None,None,None,D4,D2,D4
4/16/2024,D0,No Data,None,None,None,None,D0,None,D4,D3,D4
4/9/2024,D1,No Data,None,None,None,None,D0,None,D3,D2,D4
4/2/2024,D1,No Data,None,None,None,None,D0,None,D2,D1,D3
3/26/2024,D1,No Data,None,None,None,None,D1,None,D2,D1,D3
3/19/2024,D1,No Data,None,None,None,None,D1,None,D2,D1,D2
3/12/2024,D0,No Data,None,None,D0,None,D2,D0,D2,D1,D2
3/5/2024,D0,No Data,None,None,D0,D0,D2,D0,D2,D1,D2
2/27/2024,D0,No Data,None,None,D0,D0,D2,D0,D2,D1,D2
2/20/2024,D0,No Data,None,None,D1,D0,D2,D1,D2,D1,D2
2/13/2024,None,No Data,None,None,D0,None,D2,D1,D2,D1,D2
2/6/2024,None,No Data,None,None,D0,None,D1,D1,D2,D0,D2
1/30/2024,None,No Data,None,None,D0,None,D0,D1,D2,D0,D2
1/23/2024,None,No Data,None,None,D0,None,D0,D1,D2,D0,D2
1/16/2024,D0,No Data,None,D0,D0,D0,D0,D1,D2,D0,D2
1/9/2024,None,No Data,None,None,D0,D0,D0,D0,D2,None,D1
1/2/2024,None,No Data,None,None,D0,D0,D0,D0,D2,No Data,D1
12/26/2023,None,No Data,None,None,None,None,None,None,D2,None,D1
12/19/2023,None,No Data,None,None,None,None,None,None,D1,None,D0
12/12/2023,None,No Data,None,None,None,None,None,None,D1,None,None
12/5/2023,None,No Data,None,None,D0,None,None,None,D1,None,None
11/28/2023,None,None,None,None,D0,None,D0,None,D0,None,None
11/21/2023,None,None,None,None,D0,None,D0,None,D0,None,None
11/14/2023,None,None,None,None,None,None,None,None,None,None,None
11/7/2023,None,None,None,None,None,None,None,None,None,None,None
10/31/2023,None,None,None,None,None,None,None,None,None,None,None
10/24/2023,None,None,None,None,None,None,None,None,None,None,None
10/17/2023,None,None,None,None,None,None,None,None,None,None,None
10/10/2023,None,None,None,None,None,None,None,None,None,None,None
10/3/2023,None,None,None,None,None,None,None,None,None,None,None
9/26/2023,None,None,None,None,None,None,None,None,None,None,None
9/19/2023,None,None,None,None,None,None,D0,None,None,None,None
9/12/2023,None,None,None,None,None,None,D0,None,None,None,None
9/5/2023,None,None,None,None,None,None,D0,None,None,No Data,None
8/29/2023,None,D0,None,None,None,None,D0,None,None,None,None
8/22/2023,None,D0,None,None,None,None,D0,None,None,None,None
8/15/2023,None,D0,None,None,None,None,None,None,None,None,None
8/8/2023,None,No Data,None,None,None,None,None,None,None,None,None
8/1/2023,None,D0,None,None,None,None,None,None,None,None,None
7/25/2023,None,None,None,None,None,None,None,None,None,None,None
7/18/2023,None,None,None,None,None,None,None,None,None,None,None
7/11/2023,None,None,None,None,None,None,None,None,None,None,None
7/4/2023,None,None,None,None,None,None,None,None,None,None,None
6/27/2023,None,None,None,None,None,None,None,None,None,None,None
6/20/2023,None,None,None,None,None,None,None,None,None,None,None
6/13/2023,None,None,None,None,None,None,None,None,None,None,None
6/6/2023,None,None,None,None,None,None,None,None,None,None,None
5/30/2023,None,None,None,None,None,None,None,None,None,None,None
5/23/2023,None,None,None,None,None,None,None,None,D0,No Data,D0
5/16/2023,None,No Data,None,None,No Data,None,None,None,D0,No Data,None
5/9/2023,None,No Data,None,None,No Data,None,None,None,D0,No Data,None
5/2/2023,None,None,None,None,None,None,None,None,D0,None,None
4/25/2023,None,None,None,None,None,None,None,None,D0,None,None
4/18/2023,None,None,None,None,None,None,None,None,D0,None,None
4/11/2023,None,None,None,None,None,None,None,None,D0,None,None
4/4/2023,None,No Data,D0,None,None,None,None,None,None,None,None
3/28/2023,None,No Data,D1,None,None,None,D0,None,None,None,None
3/21/2023,None,No Data,D1,None,D0,None,D0,None,None,None,None
3/14/2023,None,No Data,D1,None,D0,None,D0,None,None,None,None
3/7/2023,None,No Data,D1,None,D0,None,D0,None,None,None,None
2/28/2023,None,No Data,D0,None,No Data,None,D0,None,None,None,None
2/21/2023,None,No Data,D0,None,D0,None,D0,None,None,None,None
2/14/2023,None,None,D0,None,None,None,None,None,None,None,None
2/7/2023,None,None,D0,None,None,None,None,None,None,None,None
1/31/2023,None,None,D1,None,None,None,None,None,None,None,None
1/24/2023,None,None,D1,None,None,None,No Data,None,None,None,None
1/17/2023,None,None,D2,None,None,None,No Data,None,None,None,None
1/10/2023,None,None,D2,None,None,None,No Data,None,D0,None,None
1/3/2023,None,D0,D2,None,D0,None,No Data,None,D0,None,None
12/27/2022,None,No Data,D2,No Data,D0,None,No Data,None,D0,None,D0
12/20/2022,None,None,D2,None,D0,None,No Data,None,D0,None,D0
12/13/2022,None,None,D2,None,D0,None,No Data,None,None,None,D0
12/6/2022,None,None,D2,None,D0,None,None,None,None,None,D0
11/29/2022,None,None,D2,None,D0,No Data,None,None,None,None,D0
11/22/2022,None,D0,D2,None,D0,None,None,None,None,None,None
11/15/2022,None,D0,D2,None,D0,None,None,None,None,None,None
11/8/2022,None,None,D2,None,D0,D0,None,None,None,None,None
11/1/2022,None,None,D2,None,D0,None,None,None,None,None,None
10/25/2022,None,None,D2,None,D0,None,None,None,None,None,None
10/18/2022,None,No Data,D2,None,D0,None,None,None,None,None,None
10/11/2022,None,No Data,D2,None,D1,None,None,None,D0,None,None
10/4/2022,None,No Data,D2,None,D1,None,None,None,D0,None,D0
9/27/2022,None,No Data,D1,None,D1,None,None,None,D0,None,D0
9/20/2022,None,No Data,D1,None,D0,None,None,None,D0,None,D0
9/13/2022,None,No Data,D1,None,D0,None,None,None,D0,None,None
9/6/2022,None,No Data,D1,None,None,None,None,None,None,None,None
8/30/2022,None,No Data,D1,None,None,None,None,None,None,None,None
8/23/2022,None,No Data,D1,None,None,None,None,None,None,None,None
8/16/2022,None,No Data,D1,None,None,None,None,None,D0,None,None
8/9/2022,None,None,D1,None,None,None,None,None,None,None,None
8/2/2022,None,None,D1,None,None,None,None,None,None,None,None
7/26/2022,None,No Data,D1,None,None,None,None,None,None,None,None
7/19/2022,None,No Data,D1,None,None,None,None,None,None,None,None
7/12/2022,None,No Data,D1,None,None,None,None,None,None,None,None
7/5/2022,None,No Data,D1,None,None,None,None,None,None,None,None
6/28/2022,None,No Data,D2,None,None,None,None,None,None,None,None
6/21/2022,None,No Data,D2,None,None,None,None,None,None,None,None
6/14/2022,None,No Data,D2,None,None,None,None,None,None,None,None
6/7/2022,None,No Data,D2,None,None,None,None,None,None,None,None
5/31/2022,None,No Data,D1,None,None,None,None,None,None,None,None
5/24/2022,None,No Data,D1,None,None,None,None,None,None,None,None
5/17/2022,None,No Data,D0,None,None,None,None,None,None,None,None
5/10/2022,None,No Data,None,None,None,None,None,None,None,None,None
5/3/2022,None,No Data,None,None,None,None,None,None,None,None,None
4/26/2022,None,No Data,D0,None,None,None,None,None,None,None,None
4/19/2022,None,No Data,D0,None,None,None,None,None,None,None,None
4/12/2022,None,No Data,D0,None,None,None,None,None,None,None,None
4/5/2022,None,No Data,D0,None,None,None,None,None,None,None,None
3/29/2022,None,D1,D0,None,None,None,None,None,D0,None,D0
3/22/2022,D0,D1,None,None,None,None,None,None,D0,None,D0
3/15/2022,D0,No Data,None,None,None,None,None,None,None,None,None
3/8/2022,D1,D2,None,None,None,None,None,None,None,D0,None
3/1/2022,D1,D2,None,None,None,None,None,None,None,D1,None
2/22/2022,D1,D2,None,None,None,D0,None,None,None,D1,None
2/15/2022,D1,D2,D0,None,None,D0,None,None,None,D1,None
2/8/2022,D0,D1,D0,None,None,D0,None,None,None,D0,None
2/1/2022,D0,D1,D0,None,None,D0,None,None,None,D0,None
1/25/2022,D0,D1,D1,None,None,D0,None,None,None,D0,None
1/18/2022,D0,D1,D1,None,None,D0,None,None,None,None,None
1/11/2022,D0,D0,D1,None,None,D0,None,None,None,None,None
1/4/2022,D0,None,D1,None,None,None,None,None,None,No Data,None
12/28/2021,None,None,D2,None,None,None,None,None,None,No Data,None
12/21/2021,None,None,D2,None,None,None,None,None,None,No Data,None
12/14/2021,None,None,D2,None,None,None,None,None,None,None,None
12/7/2021,None,No Data,D3,None,None,None,None,None,None,None,None
11/30/2021,None,None,D3,None,None,None,None,None,None,No Data,None
11/23/2021,None,No Data,D3,None,None,None,None,None,None,None,None
11/16/2021,None,No Data,D2,None,None,None,None,None,None,None,None
11/9/2021,None,No Data,D2,None,None,None,None,None,None,None,None
11/2/2021,None,No Data,D2,None,None,D0,None,None,None,None,None
10/26/2021,None,No Data,D2,None,None,D0,None,None,None,None,None
10/19/2021,None,No Data,D1,None,None,None,None,None,None,None,None
10/12/2021,None,No Data,D1,None,None,None,None,None,None,None,None
10/5/2021,None,No Data,D1,None,None,None,None,None,None,None,None
9/28/2021,None,No Data,D1,None,None,None,None,None,None,None,None
9/21/2021,None,No Data,D1,None,None,None,None,No Data,None,None,None
9/14/2021,None,No Data,D1,None,None,None,None,None,No Data,None,None
9/7/2021,None,No Data,D0,None,No Data,None,None,None,No Data,None,None
8/31/2021,D0,No Data,D0,None,None,None,None,None,None,None,None
8/24/2021,D0,No Data,D0,None,D0,None,None,None,None,None,None
8/17/2021,None,No Data,D0,None,D0,None,None,None,None,None,None
8/10/2021,None,No Data,D0,None,D0,None,None,None,None,None,None
8/3/2021,None,No Data,None,None,None,None,None,None,None,None,None
7/27/2021,None,No Data,None,None,None,None,None,None,None,None,None
7/20/2021,None,No Data,None,None,None,None,None,None,None,None,None
7/13/2021,None,No Data,None,None,None,None,None,None,No Data,None,None
7/6/2021,None,No Data,None,None,None,None,None,None,No Data,None,None
6/29/2021,None,No Data,None,None,None,None,None,None,No Data,None,None
6/22/2021,None,No Data,None,None,None,None,None,None,No Data,None,None
6/15/2021,None,None,D0,None,None,None,None,None,None,None,None
6/8/2021,None,None,D0,None,None,None,None,None,None,None,None
6/1/2021,None,None,D0,None,None,None,None,None,None,None,None
5/25/2021,None,None,D0,None,None,None,None,None,None,None,None
5/18/2021,None,None,D0,None,None,None,None,None,D0,None,None
5/11/2021,None,None,D0,None,None,None,None,None,None,None,None
5/4/2021,None,None,D1,None,None,None,None,None,None,None,None
4/27/2021,None,None,D1,None,None,None,None,None,None,None,None
4/20/2021,None,None,D1,None,None,None,None,None,None,None,None
4/13/2021,None,None,D2,None,None,None,None,None,None,None,None
4/6/2021,None,None,D2,None,None,None,None,None,None,None,None
3/30/2021,None,None,D2,None,None,None,None,None,None,None,None
3/23/2021,None,D0,D3,None,None,None,None,None,None,None,None
3/16/2021,None,D0,D3,None,None,None,None,None,None,None,None
3/9/2021,None,D1,D3,None,None,None,None,None,None,None,None
3/2/2021,None,D1,D3,None,None,None,None,None,None,None,None
2/23/2021,None,D1,D3,None,None,None,None,None,None,None,None
2/16/2021,None,D0,D3,None,None,None,None,None,None,None,None
2/9/2021,None,D0,D3,None,None,None,None,None,None,None,None
2/2/2021,None,None,D3,None,None,None,None,None,None,None,None
1/26/2021,None,None,D3,None,None,None,None,None,None,None,None
1/19/2021,None,None,D4,None,None,None,None,None,None,None,None
1/12/2021,None,None,D4,None,None,None,None,None,None,None,None
1/5/2021,None,None,D4,None,None,None,None,None,None,None,None
12/29/2020,None,None,D4,None,None,None,None,None,None,None,None
12/22/2020,None,None,D4,None,None,None,None,None,None,None,None
12/15/2020,None,None,D4,None,None,None,None,None,None,None,None
12/8/2020,None,None,D4,None,None,None,None,None,None,None,None
12/1/2020,None,None,D4,None,None,None,None,None,None,None,None
11/24/2020,None,None,D4,None,None,None,None,None,None,None,None
11/17/2020,None,None,D4,None,None,None,None,None,None,None,None
11/10/2020,None,None,D4,None,None,None,None,None,None,None,None
11/3/2020,None,None,D4,None,None,None,None,None,None,None,None
10/27/2020,None,None,D4,None,None,None,None,None,None,None,None
10/20/2020,None,None,D4,None,None,None,None,None,None,None,None
10/13/2020,None,None,D4,None,None,None,None,None,None,None,None
10/6/2020,None,None,D3,None,None,None,None,None,None,None,None
9/29/2020,None,None,D3,None,None,None,None,None,None,None,None
9/22/2020,None,None,D2,None,None,None,None,None,None,None,None
9/15/2020,None,None,D2,None,None,None,None,None,None,None,None
9/8/2020,None,None,D2,None,None,None,None,None,None,None,None
9/1/2020,None,None,D2,None,None,None,None,None,None,None,None
8/25/2020,None,None,D1,None,None,None,None,None,None,None,None
8/18/2020,None,None,D1,None,None,None,None,None,None,None,None
8/11/2020,None,None,D2,None,None,None,None,None,None,None,None
8/4/2020,None,None,D2,None,None,None,None,None,None,None,None
7/28/2020,None,None,D2,None,None,None,None,None,None,None,None
7/21/2020,None,D0,D2,None,None,None,None,None,None,None,None
7/14/2020,None,D0,D2,None,None,None,None,None,None,None,None
7/7/2020,None,D0,D2,None,None,None,None,None,D0,None,None
6/30/2020,None,D0,D2,None,None,None,None,None,D0,None,None
6/23/2020,None,D0,D2,None,None,None,None,None,D1,D0,D0
6/16/2020,None,No Data,D1,None,None,None,None,None,D1,D0,D1
6/9/2020,D0,No Data,D0,None,None,None,None,None,D1,D1,D2
6/2/2020,D0,No Data,D0,None,None,None,None,None,D1,D1,D2
5/26/2020,D0,No Data,D0,None,None,None,No Data,None,D1,D1,D2
5/19/2020,D0,No Data,None,None,None,None,No Data,None,D1,D2,D2
5/12/2020,D0,No Data,None,None,None,None,None,None,D1,D1,D2
5/5/2020,D0,No Data,None,None,None,None,None,None,D2,D2,D3
4/28/2020,D1,No Data,None,None,None,None,None,None,D2,D2,D3
4/21/2020,D1,No Data,None,None,D0,None,None,None,D2,D2,D3
4/14/2020,D1,No Data,None,None,D0,D0,None,None,D2,D2,D3
4/7/2020,D1,No Data,None,None,D0,D0,D0,None,D2,D2,D3
3/31/2020,D0,No Data,None,None,D0,D0,D0,None,D2,D1,D2
3/24/2020,D0,No Data,None,None,D1,D0,D0,None,D1,D1,D2
3/17/2020,D0,No Data,None,None,D1,D1,D0,None,D1,D1,D2
3/10/2020,D0,No Data,D0,None,D1,D0,None,None,D0,D1,D1
3/3/2020,D0,No Data,D0,None,D1,D0,None,None,D0,D1,D1
2/25/2020,D0,No Data,D0,None,D1,D0,None,None,D0,D1,D1
2/18/2020,None,No Data,D0,None,D1,None,None,None,None,D0,D0
2/11/2020,None,No Data,D0,None,D0,None,None,None,None,D0,D0
2/4/2020,None,No Data,D0,None,D0,None,None,None,None,D0,D0
1/28/2020,None,No Data,None,None,D0,None,None,None,None,D0,D0
1/21/2020,None,No Data,None,None,D0,None,None,None,None,D0,D0
1/14/2020,None,No Data,None,None,None,None,None,None,None,None,None
1/7/2020,None,No Data,D0,None,None,None,None,None,None,None,None
12/31/2019,None,No Data,None,None,None,None,None,None,None,None,None
12/24/2019,None,No Data,None,None,No Data,None,None,None,None,None,None
12/17/2019,None,No Data,None,None,D0,None,No Data,None,None,D0,None
12/10/2019,None,No Data,None,None,D0,None,No Data,None,None,D0,None
12/3/2019,None,No Data,None,None,D0,None,No Data,None,None,D0,None
11/26/2019,D0,No Data,None,None,D0,None,No Data,None,No Data,D0,None
11/19/2019,None,No Data,None,None,D0,None,No Data,None,No Data,D0,None
11/12/2019,None,No Data,None,None,D0,None,No Data,None,No Data,D0,None
11/5/2019,None,No Data,None,None,D0,None,None,None,No Data,D0,None
10/29/2019,None,No Data,None,None,D0,None,None,None,No Data,D0,None
10/22/2019,None,No Data,D0,None,D0,D0,None,None,No Data,D0,None
10/15/2019,None,No Data,D0,None,D0,D0,None,None,No Data,D0,None
10/8/2019,None,No Data,D0,None,D0,D0,None,None,No Data,D0,None
10/1/2019,None,No Data,D0,None,D0,D0,None,None,No Data,D0,None
9/24/2019,None,No Data,None,None,None,None,None,None,No Data,None,None
9/17/2019,None,None,None,None,None,None,None,None,No Data,None,None
9/10/2019,None,None,None,None,None,None,D0,None,No Data,No Data,None
9/3/2019,None,None,None,None,None,None,D0,None,No Data,None,None
8/27/2019,None,None,None,None,None,None,None,None,No Data,None,None
8/20/2019,None,None,None,None,None,None,None,None,No Data,None,None
8/13/2019,None,None,None,None,None,None,None,None,No Data,None,None
8/6/2019,None,None,None,None,None,None,None,None,No Data,None,None
7/30/2019,None,D0,None,None,None,None,None,None,No Data,None,None
7/23/2019,None,D0,None,None,None,None,None,None,No Data,None,None
7/16/2019,None,D0,None,None,None,None,None,None,No Data,None,None
7/9/2019,None,D1,None,None,None,None,None,None,No Data,None,D0
7/2/2019,None,D1,None,None,None,None,None,None,No Data,None,D0
6/25/2019,D0,D1,None,None,None,None,None,None,No Data,None,D1
6/18/2019,D1,D2,None,None,None,None,None,None,No Data,D0,D2
6/11/2019,D2,D2,None,None,None,None,None,None,No Data,D1,D2
6/4/2019,D2,D2,None,None,D0,D0,None,None,No Data,D1,D2
5/28/2019,D2,D2,None,None,D0,D0,None,None,No Data,D2,D2
5/21/2019,D2,D2,None,None,D0,D0,None,None,No Data,D2,D2
5/14/2019,D1,D2,None,None,None,None,None,None,No Data,D2,D2
5/7/2019,D0,No Data,None,None,None,None,None,None,No Data,D1,D3
4/30/2019,None,D2,None,None,None,None,None,None,No Data,No Data,D3
4/23/2019,None,D2,No Data,None,None,No Data,No Data,None,No Data,D1,D3
4/16/2019,None,D1,None,None,None,None,None,None,No Data,D0,D2
4/9/2019,None,D1,None,None,None,None,None,None,No Data,D0,D1
4/2/2019,None,D1,None,None,D0,None,None,None,No Data,D0,D1
3/26/2019,None,D1,None,None,D0,None,None,None,No Data,D1,D1
3/19/2019,None,D1,None,None,D0,None,None,None,No Data,D1,D0
3/12/2019,None,D1,D0,None,D0,None,None,None,No Data,D1,D0
3/5/2019,None,D0,D0,None,D0,None,None,None,No Data,D1,D0
2/26/2019,None,D0,None,None,D0,None,None,None,No Data,D0,D0
2/19/2019,D0,D0,None,None,D0,None,None,None,No Data,D0,D0
